,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
25,Retomando...uuff,7.81,2249,93.8,Run,8511226839,05-02-2023,"[40.63842714764178, -3.163134455680847]","[40.638649770990014, -3.163336794823408]",12.5,20.89,,,151.8,164.0,737.3,671.8,,,,,,37.48,18,Sunday,5,2,2023
26,"Post carrera, no muy suave",6.11,1805,54.6,Run,8439841094,23-01-2023,"[40.628738421946764, -3.1653847452253103]","[40.63818784430623, -3.1624708604067564]",12.18,22.12,80.5,41.0,151.3,162.0,736.5,701.2,,,,,,30.08,18,Monday,4,1,2023
27,Casa-peluquería,1.42,391,39.6,Run,8439840667,23-01-2023,[],[],13.07,20.08,81.5,41.0,150.6,166.0,717.3,681.2,,,,,,6.52,17,Monday,4,1,2023
28,Carrera de Alovera,9.78,2174,20.7,Run,8432815902,22-01-2023,"[40.59330124408007, -3.2515776995569468]","[40.5954703129828, -3.2489451114088297]",16.2,20.11,82.8,41.0,162.8,185.0,645.6,640.4,,,,,,36.23,12,Sunday,3,1,2023
29,25 min pasado de pulso,5.61,1551,58.1,Run,8411430112,18-01-2023,"[40.63910583034158, -3.164014555513859]","[40.63876233994961, -3.1634662952274084]",13.03,27.63,81.1,41.0,151.5,172.0,696.8,638.5,,,,,,25.85,12,Wednesday,3,1,2023
30,Suave mis narices ,6.25,1593,68.9,Run,8392155091,14-01-2023,"[40.639040200039744, -3.1645644921809435]","[40.63803940080106, -3.1623144540935755]",14.12,27.83,81.2,41.0,155.3,175.0,735.4,692.7,,,,,,26.55,19,Saturday,2,1,2023
31,Carrera a la hora del almuerzo,6.09,1765,39.6,Run,8384451359,13-01-2023,"[40.63201121985912, -3.1809997279196978]","[40.64364178106189, -3.1691886205226183]",12.41,19.92,80.6,41.0,149.1,182.0,673.0,636.1,,,,,,29.42,12,Friday,2,1,2023
32,Suave de charleta con Javi,12.55,3646,153.4,Run,8373101359,11-01-2023,"[40.63875270076096, -3.1636255513876677]","[40.63879117369652, -3.1633779499679804]",12.39,20.16,81.4,41.0,150.7,173.0,737.3,637.6,,,,,,60.77,7,Wednesday,2,1,2023
33,Post viaje Barcelona,5.18,1400,60.3,Run,8360471321,08-01-2023,"[40.638775331899524, -3.163418434560299]","[40.63866921700537, -3.1633028481155634]",13.32,24.69,80.7,41.0,147.8,169.0,714.7,686.5,,,,,,23.33,20,Sunday,1,1,2023
34,Pre viaje a Barcelona ,7.68,2157,60.9,Run,8340540669,05-01-2023,"[40.639118906110525, -3.164514033123851]","[40.638643484562635, -3.163230177015066]",12.81,17.76,81.6,41.0,149.0,175.0,697.4,635.9,,,,,,35.95,8,Thursday,1,1,2023
35,Rodaje fácil controlando pulso,10.71,3048,132.9,Run,8327753111,02-01-2023,"[40.63837836496532, -3.1632512994110584]","[40.63829546794295, -3.1629780493676662]",12.65,19.58,79.7,41.0,149.7,167.0,736.2,658.0,,,,,,50.8,20,Monday,1,1,2023
36,Rodaje post Nochevieja,4.08,1211,16.2,Run,8327752949,01-01-2023,[],[],12.12,15.25,80.1,41.0,136.2,148.0,809.4,799.6,,,,,,20.18,12,Sunday,52,1,2023
37,San Silvestre Marchamalo,9.92,2214,39.6,Run,8315129433,31-12-2022,"[40.66999272443354, -3.202539961785078]","[40.67008165642619, -3.2026290614157915]",16.14,21.03,83.4,41.0,186.3,195.0,687.6,667.6,,,,,,36.9,10,Saturday,52,12,2022
38,Calentamiento San Silvestre Marchamalo Pegasus,1.92,624,8.5,Run,8315127097,31-12-2022,[],[],11.11,15.61,80.9,41.0,138.5,152.0,680.8,672.1,,,,,,10.4,10,Saturday,52,12,2022
39,Retomando...qué mal,6.8,1817,68.9,Run,8299261102,27-12-2022,"[40.63835866749287, -3.1631076335906982]","[40.63863300718367, -3.163250796496868]",13.47,27.15,80.0,41.0,149.7,171.0,735.3,693.0,,,,,,30.28,19,Tuesday,52,12,2022
40,Rodaje suave por Guada controlando pulso,10.62,3120,106.1,Run,8267797059,19-12-2022,"[40.638167979195714, -3.163387756794691]","[40.63823319040239, -3.16276079043746]",12.25,25.52,79.1,41.0,145.4,154.0,736.2,683.6,,,,,,52.0,19,Monday,51,12,2022
41,"Calentamiento, rodilla...",3.52,1038,6.0,Run,8262569149,18-12-2022,"[40.595878679305315, -3.1057559698820114]","[40.59653959237039, -3.106505312025547]",12.22,15.57,80.1,41.0,140.8,156.0,919.5,913.4,,,,,,17.3,12,Sunday,50,12,2022
42,¡Menuda hemorragia de satisfacción montando con viejos amigos! CA,74.14,9573,733.0,Ride,8258412325,17-12-2022,"[40.637866482138634, -3.162841759622097]","[40.63819178380072, -3.1627020332962275]",27.88,63.83,84.8,9.0,140.5,170.0,885.6,591.0,168.6,1613.7,True,827.0,191.0,159.55,9,Saturday,50,12,2022
43,Carrera de noche,4.96,1492,52.9,Run,8252366830,15-12-2022,"[40.63850409351289, -3.162909736856818]","[40.63827686011791, -3.162717455998063]",11.98,28.22,80.2,41.0,134.9,148.0,735.3,698.3,,,,,,24.87,19,Thursday,50,12,2022
44,Media Maratón Guada,21.38,5139,293.0,Run,8235507490,11-12-2022,"[40.62911736778915, -3.150123478844762]","[40.62687696889043, -3.152352813631296]",14.98,26.55,83.1,41.0,174.2,186.0,738.8,692.6,,,,,,85.65,10,Sunday,49,12,2022
45,Rodaje pre media Guada,6.12,1784,75.0,Run,8232726226,10-12-2022,"[40.63853326253593, -3.163472665473819]","[40.63836336135864, -3.162894146516919]",12.36,24.18,80.4,41.0,149.2,167.0,735.3,692.7,,,,,,29.73,18,Saturday,49,12,2022
