,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
325,Rodaje con Rece 🙌🏽,5.83,1481,0.0,Run,5846158943,24-08-2021,"[40.640863, -3.164183]","[40.640868, -3.166253]",14.18,32.04,81.9,41.0,152.0,167.0,6892.8,6892.8,,,,,,24.68,18,Tuesday,34,8,2021
326,3 x Sus muertos qué viento ,59.78,6082,293.0,Ride,5843828669,24-08-2021,"[40.642306, -3.166347]","[40.643924, -3.170152]",35.39,74.52,90.1,22.0,,,749.4,606.0,248.0,1508.2,True,725.0,261.0,101.37,9,Tuesday,34,8,2021
327,Morning Swim,1.7,1829,0.0,Swim,5841383060,23-08-2021,[],[],3.34,11.16,23.4,,,,0.0,,,,,,,30.48,10,Monday,34,8,2021
328,Transi 💀 ,7.0,1587,10.3,Run,5832978169,22-08-2021,"[40.641052, -3.166586]","[40.643865, -3.177305]",15.88,23.04,83.4,41.0,152.0,168.0,686.8,635.6,,,,,,26.45,10,Sunday,33,8,2021
329,40km 290w al palo,60.21,6351,266.0,Ride,5838983355,22-08-2021,"[40.640116, -3.165886]","[40.641381, -3.166259]",34.13,65.16,86.0,23.0,,,655.8,560.8,225.4,1431.5,True,954.0,255.0,105.85,8,Sunday,33,8,2021
330,Rodaje con 35'prg,11.8,3039,0.0,Run,5832977859,20-08-2021,"[40.652676, -3.054817]","[40.652944, -3.054663]",13.98,19.44,82.1,41.0,162.8,190.0,8152.6,966.2,,,,,,50.65,19,Friday,33,8,2021
331,Night Swim,2.1,2076,0.0,Swim,5822902923,20-08-2021,[],[],3.64,18.0,24.0,,,,0.0,,,,,,,34.6,3,Friday,33,8,2021
332,La virgen qué puto calor 🥵🔥,10.39,2798,0.0,Run,5814567526,18-08-2021,"[40.641171, -3.166446]","[40.641714, -3.167121]",13.36,23.04,80.6,41.0,150.4,178.0,6892.8,-135.2,,,,,,46.63,20,Wednesday,33,8,2021
333,Érase una vez un lobo...,68.39,6753,344.3,Ride,5806117529,17-08-2021,"[40.641175, -3.166683]","[40.642585, -3.173158]",36.46,79.56,90.2,41.0,146.3,184.0,784.7,636.3,258.3,1744.6,True,682.0,263.0,112.55,9,Tuesday,33,8,2021
334,Lunch Swim,2.0,2207,0.0,Swim,5805486805,16-08-2021,[],[],3.26,5.76,28.0,,,,0.0,,,,,,,36.78,11,Monday,33,8,2021
335,Ojó la deshidrt.,1.99,447,0.0,Run,5795605103,15-08-2021,"[40.595548, -3.111095]","[40.591825, -3.105993]",16.05,20.52,85.6,41.0,162.1,179.0,6933.2,362.6,,,,,,7.45,11,Sunday,32,8,2021
336,12-10-8-6min @320w.........,72.43,8196,464.0,Ride,5797010373,15-08-2021,"[40.595129, -3.110556]","[40.595461, -3.111077]",31.82,62.64,82.5,25.0,,,943.0,666.2,203.7,1669.7,True,860.0,250.0,136.6,8,Sunday,32,8,2021
337,Evening Run,5.84,1484,0.0,Run,5795604900,14-08-2021,"[40.653686, -3.055471]","[40.655077, -3.052584]",14.17,19.44,81.9,41.0,152.4,171.0,7129.4,457.6,,,,,,24.73,19,Saturday,32,8,2021
338,3⁰ Mandamiento: Odiarás a Nahuel por encima de todas las cosas 😂😂😂☠️☠️☠️🔥,7.84,2315,0.0,Run,5773918363,11-08-2021,"[40.626396, -3.150765]","[40.626187, -3.152204]",12.19,25.56,80.9,41.0,153.9,188.0,6892.8,6892.8,,,,,,38.58,10,Wednesday,32,8,2021
339,3x10' ftp,47.03,4882,206.0,Ride,5779278854,09-08-2021,"[40.641413, -3.166863]","[40.641674, -3.167198]",34.68,57.24,83.6,25.0,159.8,167.0,718.6,622.4,226.4,1105.5,True,819.0,261.0,81.37,9,Monday,32,8,2021
340,Morning Ride,51.29,7004,539.0,Ride,5751755762,07-08-2021,"[40.653178, -3.054246]","[40.652452, -3.054807]",26.36,59.4,73.5,19.0,120.1,162.0,1020.6,802.4,154.2,1080.0,True,604.0,216.0,116.73,8,Saturday,31,8,2021
341,Easy Jogg YoYoYo  ,7.32,1986,0.0,Run,5749602174,06-08-2021,"[40.652491, -3.054841]","[40.652775, -3.054778]",13.27,25.2,82.3,41.0,151.0,178.0,9985.8,842.8,,,,,,33.1,20,Friday,31,8,2021
342,Night Swim,2.6,2701,0.0,Swim,5746941681,06-08-2021,[],[],3.47,14.4,23.7,,,,0.0,,,,,,,45.02,0,Friday,31,8,2021
343,Easy Jogg ,8.12,2097,0.0,Run,5746706189,05-08-2021,"[40.652454, -3.054912]","[40.653002, -3.054678]",13.94,17.64,82.3,41.0,151.6,167.0,7974.2,842.8,,,,,,34.95,19,Thursday,31,8,2021
344,4 x 4-4' z5,42.21,4701,165.0,Ride,5741590122,05-08-2021,"[40.641179, -3.166788]","[40.64341, -3.171932]",32.33,54.0,82.7,19.0,127.7,163.0,730.4,626.8,198.7,934.0,True,890.0,256.0,78.35,8,Thursday,31,8,2021
345,Con Pollero y los Jubiletas ,72.09,8890,735.0,Ride,5741590229,04-08-2021,"[40.641496, -3.167039]","[40.638963, -3.163876]",29.19,66.6,81.4,26.0,130.1,161.0,895.0,636.8,197.6,1756.8,True,914.0,226.0,148.17,9,Wednesday,31,8,2021
346,Morning Run,6.56,1879,0.0,Run,5746705819,03-08-2021,"[40.626205, -3.152245]","[40.625551, -3.151811]",12.56,25.92,82.2,41.0,172.5,190.0,8952.2,732.8,,,,,,31.32,9,Tuesday,31,8,2021
347,What a morning!!! Rodaje por Vallekas con el guía de lujo Javier Zaitsev ,16.3,4451,0.0,Run,5725275767,02-08-2021,"[40.3882, -3.66245]","[40.388797, -3.66339]",13.18,23.4,82.9,41.0,151.4,176.0,8762.2,693.6,,,,,,74.18,9,Monday,31,8,2021
348,Sus muertos pisoteaos qué cansancio ☠️☠️🔥🔥,12.0,3479,0.0,Run,5719787267,01-08-2021,"[40.640507, -3.165261]","[40.642828, -3.168253]",12.42,23.76,80.4,41.0,140.3,174.0,9850.0,684.6,,,,,,57.98,9,Sunday,30,8,2021
349,LOS LOBOS #YOYOYO 1h30' z1b ,80.3,7819,277.0,Ride,5714298651,31-07-2021,"[40.640236, -3.164695]","[40.642575, -3.175345]",36.97,62.28,88.9,20.0,143.3,162.0,719.0,615.0,245.9,1922.4,True,637.0,257.0,130.32,7,Saturday,30,7,2021
350,Evening Run,3.66,956,0.0,Run,5707685971,29-07-2021,"[40.654253, -3.053694]","[40.653052, -3.055174]",13.77,17.28,81.6,41.0,148.5,171.0,6892.8,6892.8,,,,,,15.93,20,Thursday,30,7,2021
351,30x35''-25'' vol2,65.01,8134,740.0,Ride,5704980359,29-07-2021,"[40.641445, -3.166914]","[40.63377, -3.156759]",28.77,72.72,78.7,27.0,137.5,177.0,908.4,653.2,200.7,1632.9,True,921.0,246.0,135.57,8,Thursday,30,7,2021
352,Rodaje suave de verdá ,44.95,5866,449.0,Ride,5701440955,28-07-2021,"[40.641559, -3.166971]","[40.641418, -3.166305]",27.59,63.36,,30.0,122.8,156.0,898.4,660.6,148.8,872.9,False,,,97.77,10,Wednesday,30,7,2021
353,Night Swim,3.0,3250,0.0,Swim,5699242059,27-07-2021,[],[],3.32,14.4,21.4,,,,0.0,,,,,,,54.17,23,Tuesday,30,7,2021
354,10*300🤢💀,13.62,4170,0.0,Run,5693838265,27-07-2021,"[40.626218, -3.152326]","[40.626095, -3.152244]",11.76,24.48,80.3,41.0,145.6,175.0,8077.2,931.4,,,,,,69.5,8,Tuesday,30,7,2021
355,El Lobo que quería ser león,10.73,3027,0.0,Run,5683222780,25-07-2021,"[40.641236, -3.166416]","[40.641025, -3.166465]",12.76,19.8,82.9,41.0,142.4,185.0,6892.8,-140.4,,,,,,50.45,10,Sunday,29,7,2021
356,"Transi infernal pero ""fácil"" ",6.34,1639,0.0,Run,5679047285,24-07-2021,"[40.640994, -3.166409]","[40.641132, -3.16278]",13.93,21.6,80.8,41.0,166.8,183.0,6892.8,262.8,,,,,,27.32,14,Saturday,29,7,2021
357,4x8' ftp-+ sin w,56.96,5616,187.0,Ride,5679214872,24-07-2021,"[40.641426, -3.167093]","[40.642418, -3.175043]",36.51,56.16,119.2,31.0,141.8,168.0,711.2,627.2,0.1,0.7,True,53.0,4.0,93.6,12,Saturday,29,7,2021
358,Rodaje cómodo,14.19,3639,177.6,Run,5675357176,23-07-2021,"[40.640433, -3.16557]","[40.640189, -3.164893]",14.04,24.48,81.3,41.0,161.6,193.0,734.6,658.1,,,,,,60.65,19,Friday,29,7,2021
359,30x35''-25'',40.95,4461,146.0,Ride,5679211679,22-07-2021,"[40.641454, -3.16707]","[40.64139, -3.167142]",33.05,53.28,117.1,35.0,146.5,180.0,687.2,621.8,23.0,102.6,True,619.0,227.0,74.35,19,Thursday,29,7,2021
360,Mi primera vez yendo suave. Acepto potenciómetros,37.19,4770,0.0,Ride,5664923904,21-07-2021,"[40.641062, -3.166762]","[40.642468, -3.150427]",28.07,51.48,119.8,41.0,128.3,145.0,7266.0,532.2,836.6,3990.7,True,1824.0,927.0,79.5,19,Wednesday,29,7,2021
361,Perdiendo años de vida,2.55,2598,0.0,Swim,5664142955,21-07-2021,[],[],3.54,50.04,24.5,,,,0.0,,,,,,,43.3,7,Wednesday,29,7,2021
362,Perdiendo años de vida tras el Lobo del Clavín ,10.89,3155,0.0,Run,5656376438,20-07-2021,"[40.627242, -3.151804]","[40.626387, -3.152059]",12.42,25.56,81.9,41.0,154.0,178.0,6892.8,6892.8,,,,,,52.58,9,Tuesday,29,7,2021
363,Primera transi. Petada.,1.96,510,0.0,Run,5645479379,18-07-2021,[],[],13.82,19.08,81.2,41.0,115.9,132.0,7971.8,881.6,,,,,,8.5,10,Sunday,28,7,2021
364,4x7' por pulso en 2021....,50.47,5069,136.0,Ride,5645385683,18-07-2021,"[40.642363, -3.167858]","[40.634863, -3.188231]",35.84,62.28,93.0,25.0,145.6,176.0,695.4,619.2,370.5,1878.1,True,892.0,462.0,84.48,8,Sunday,28,7,2021
365,Cuestasmasunkilometrofuerte,11.12,3284,0.0,Run,5645479321,17-07-2021,"[40.652512, -3.054913]","[40.656245, -3.054275]",12.19,25.56,79.3,41.0,159.7,181.0,6892.8,-192.0,,,,,,54.73,19,Saturday,28,7,2021
366,Night Swim,2.8,2884,0.0,Swim,5640995469,17-07-2021,[],[],3.5,12.6,24.1,,,,0.0,,,,,,,48.07,3,Saturday,28,7,2021
367,Aclimatación Parte 1 ,63.71,6302,367.0,Ride,5636892997,16-07-2021,"[40.641403, -3.166952]","[40.640876, -3.166342]",36.39,59.76,114.2,36.0,155.6,184.0,765.0,640.4,298.9,1883.4,True,946.0,334.0,105.03,14,Friday,28,7,2021
368,Night Swim,2.5,2255,0.0,Swim,5625087905,14-07-2021,[],[],3.99,12.6,25.4,,,,0.0,,,,,,,37.58,1,Wednesday,28,7,2021
369,Evening Ride,29.99,3263,135.0,Ride,5636893167,13-07-2021,"[40.641624, -3.167106]","[40.642996, -3.168689]",33.09,58.32,95.6,26.0,141.1,174.0,646.4,594.6,236.9,773.1,True,1010.0,270.0,54.38,20,Tuesday,28,7,2021
370,3x10 FTP después falla potenciometro .,113.73,12125,501.2,Ride,5609902190,11-07-2021,"[40.64426, -3.142104]","[40.641151, -3.166417]",33.77,61.2,92.2,27.0,148.9,178.0,733.2,643.3,451.2,5470.4,True,1506.0,612.0,202.08,8,Sunday,27,7,2021
371,Diezporveinticinco ochoporciencuenta,2.0,1866,0.0,Swim,5604204541,10-07-2021,[],[],3.86,9.36,24.9,,,,0.0,,,,,,,31.1,4,Saturday,27,7,2021
372,10*1'-1' terreno irregular,12.01,3275,0.0,Run,5603944555,09-07-2021,"[40.640954, -3.166311]","[40.640974, -3.166388]",13.2,25.56,80.8,41.0,162.0,181.0,9552.6,682.6,,,,,,54.58,20,Friday,27,7,2021
373,Night Swim,1.5,1524,0.0,Swim,5601058864,09-07-2021,[],[],3.54,10.8,24.9,,,,0.0,,,,,,,25.4,3,Friday,27,7,2021
374,Apuuuff qué calor 🐺,6.01,1459,67.1,Run,5596203717,08-07-2021,"[40.641061, -3.166531]","[40.641461, -3.166862]",14.82,25.56,81.7,41.0,138.6,175.0,735.1,687.1,,,,,,24.32,20,Thursday,27,7,2021
375,Lunch Swim,2.0,1844,0.0,Swim,5596203633,07-07-2021,[],[],3.91,8.64,25.2,,,,0.0,,,,,,,30.73,11,Wednesday,27,7,2021
376,Persiguiendo al Lobo del Clavín,60.65,7167,513.0,Ride,5583218965,06-07-2021,"[40.640693, -3.166455]","[40.641156, -3.166434]",30.47,61.92,92.7,21.0,140.1,180.0,926.6,674.4,239.0,1713.0,True,1037.0,281.0,119.45,8,Tuesday,27,7,2021
377,.,2.0,2326,0.0,Swim,5580976948,05-07-2021,[],[],3.1,6.12,26.5,,,,0.0,,,,,,,38.77,12,Monday,27,7,2021
378,EL LOBO 🐺 y caperucita ,70.03,7941,367.0,Ride,5572384797,04-07-2021,"[40.640093, -3.16605]","[40.640213, -3.165326]",31.75,57.6,88.2,25.0,,,675.8,583.2,200.8,1594.4,True,1010.0,244.0,132.35,8,Sunday,26,7,2021
379,Post Españita football match...🐺,9.13,2212,104.3,Run,5564826911,02-07-2021,"[40.641159, -3.166634]","[40.64043, -3.165566]",14.87,36.36,82.2,41.0,168.4,187.0,737.0,686.5,,,,,,36.87,21,Friday,26,7,2021
380,LOS LOBOS DEL STRAVA ,43.94,4889,459.0,Ride,5560083236,01-07-2021,"[40.641352, -3.166875]","[40.641813, -3.166774]",32.35,60.12,89.2,32.0,146.7,188.0,919.2,615.8,229.7,1122.8,True,1070.0,274.0,81.48,19,Thursday,26,7,2021
381,Rodaje con 3xLoft,7.31,1967,89.7,Run,5554525186,30-06-2021,"[40.641053, -3.166489]","[40.640961, -3.166349]",13.38,30.6,80.8,41.0,154.1,194.0,724.6,685.5,,,,,,32.78,20,Wednesday,26,6,2021
382,Lunch Run,2.78,1109,0.0,Run,5554524724,29-06-2021,"[40.626271, -3.152249]","[40.626491, -3.150802]",9.03,24.48,80.1,41.0,148.7,195.0,6892.8,244.4,,,,,,18.48,12,Tuesday,26,6,2021
383,LOS LOBOS YO YO YO ,70.75,8995,910.0,Ride,5546765634,29-06-2021,"[40.640543, -3.166317]","[40.641094, -3.166435]",28.31,68.4,81.1,22.0,138.0,184.0,940.2,631.6,189.1,1700.7,True,1063.0,244.0,149.92,8,Tuesday,26,6,2021
384,LOS LOBOS de la lavanda ,112.05,13118,923.0,Ride,5536641229,27-06-2021,"[40.640133, -3.165757]","[40.641168, -3.166383]",30.75,61.92,87.8,26.0,138.9,188.0,934.2,620.2,193.3,2536.1,True,927.0,231.0,218.63,7,Sunday,25,6,2021
385,En Valdeluz hay lobos? 🐺 ,10.0,2641,18.4,Run,5528179147,25-06-2021,"[40.594644, -3.110303]","[40.593963, -3.11149]",13.63,21.6,81.0,41.0,155.3,184.0,919.4,913.5,,,,,,44.02,19,Friday,25,6,2021
386,Buscando a LOS LOBOS DEL STRAVA  ,38.71,4911,413.0,Ride,5523144428,24-06-2021,"[40.64138, -3.167012]","[40.641139, -3.166405]",28.38,68.76,88.7,28.0,142.7,186.0,837.4,678.8,187.4,920.3,True,969.0,250.0,81.85,18,Thursday,25,6,2021
387,Evening Run,10.94,2909,0.0,Run,5517768383,23-06-2021,"[40.641049, -3.166766]","[40.641083, -3.166437]",13.54,20.16,81.0,41.0,163.8,181.0,7480.6,633.2,,,,,,48.48,19,Wednesday,25,6,2021
388,Morning Ride,95.09,11933,1072.0,Ride,5499858358,20-06-2021,"[40.640665, -3.16652]","[40.640887, -3.16632]",28.69,68.04,84.3,16.0,141.6,194.0,1008.0,692.4,176.1,2101.7,True,863.0,238.0,198.88,8,Sunday,24,6,2021
389,Evening Run,8.0,2197,123.7,Run,5491656238,18-06-2021,"[40.641248, -3.166785]","[40.64098, -3.166433]",13.1,26.28,80.7,41.0,155.3,183.0,717.2,637.7,,,,,,36.62,20,Friday,24,6,2021
390,Evening Run,3.92,1340,39.9,Run,5491656128,13-06-2021,"[40.65299, -3.054492]","[40.675953, -3.040745]",10.53,14.04,80.4,41.0,140.5,167.0,844.5,807.9,,,,,,22.33,19,Sunday,23,6,2021
391,Morning Ride,121.57,15636,1564.0,Ride,5465747523,13-06-2021,"[40.640658, -3.166326]","[40.641701, -3.166746]",27.99,66.24,83.3,26.0,143.3,192.0,902.2,583.8,183.9,2875.0,True,1206.0,224.0,260.6,8,Sunday,23,6,2021
392,Llano cuestas zetas inventadas 🙄😂,7.6,1895,0.0,Run,5453045075,11-06-2021,"[40.641113, -3.1665]","[40.640945, -3.166388]",14.44,22.68,82.7,41.0,143.0,166.0,7382.4,580.8,,,,,,31.58,19,Friday,23,6,2021
393,Tingui siris i 300w. ¡Manu cabrón! ,56.61,5489,209.0,Ride,5443384255,09-06-2021,"[40.640674, -3.166079]","[40.642215, -3.174461]",37.13,55.08,91.8,33.0,150.7,186.0,728.0,637.4,259.1,1422.5,True,714.0,279.0,91.48,19,Wednesday,23,6,2021
394,¡Ay la Henche-Gualda qué bonita es! ,134.63,15789,1584.0,Ride,5423136698,06-06-2021,"[40.640649, -3.166285]","[40.641149, -3.16634]",30.7,66.96,88.1,21.0,141.1,182.0,957.2,584.8,182.7,2884.0,True,988.0,223.0,263.15,8,Sunday,22,6,2021
395,Night Swim,2.0,1862,0.0,Swim,5416805332,05-06-2021,[],[],3.87,12.96,23.6,,,,0.0,,,,,,,31.03,3,Saturday,22,6,2021
396,2*25 muerte y destrucción 🔥🔥☀️☀️,17.76,4378,29.1,Run,5413492709,04-06-2021,"[40.594851, -3.109942]","[40.594734, -3.110169]",14.61,23.04,82.1,41.0,161.3,183.0,919.4,913.5,,,,,,72.97,19,Friday,22,6,2021
397,Evening Run,8.0,2041,0.0,Run,5407788772,03-06-2021,"[40.641334, -3.166715]","[40.641217, -3.166573]",14.11,24.84,82.2,41.0,151.1,169.0,6991.6,385.4,,,,,,34.02,18,Thursday,22,6,2021
398,3x10x(35''f-25''s) ,51.97,5569,260.0,Ride,5401600975,02-06-2021,"[40.641349, -3.167142]","[40.641422, -3.166312]",33.6,56.52,90.1,29.0,142.9,176.0,716.0,626.6,227.3,1265.6,True,913.0,271.0,92.82,16,Wednesday,22,6,2021
399,Soltando con Dani y Manu,2.43,652,0.0,Run,5382611131,30-05-2021,"[40.556617, -2.671173]","[40.556568, -2.670555]",13.41,15.84,,41.0,178.2,188.0,6892.8,6892.8,,,,,,10.87,12,Sunday,21,5,2021
400,5k ritmo ☠️,4.88,1047,0.0,Run,5382610596,30-05-2021,"[40.556397, -2.671692]","[40.556602, -2.670876]",16.8,20.52,86.3,41.0,173.2,190.0,6892.8,6892.8,,,,,,17.45,12,Sunday,21,5,2021
401,Pareja-La Puerta MANU CABRON,40.42,4190,421.0,Ride,5382724105,30-05-2021,"[40.556462, -2.671921]","[40.556662, -2.671069]",34.73,65.88,,27.0,,,824.8,724.8,243.1,1018.4,False,,,69.83,10,Sunday,21,5,2021
402,Pareja sin neopreno ,1.2,1169,28.2,Swim,5382610246,30-05-2021,"[40.556409, -2.670312]","[40.556419, -2.670269]",3.69,5.04,34.6,41.0,71.0,71.0,726.8,708.5,,,,,,19.48,10,Sunday,21,5,2021
403,Evening Run,1.4,428,0.0,Run,5373046041,28-05-2021,"[40.627418, -3.151563]","[40.634807, -3.153688]",11.78,15.48,83.5,41.0,145.3,155.0,6892.8,6892.8,,,,,,7.13,19,Friday,21,5,2021
404,Evening Run,7.05,1786,57.4,Run,5373045533,28-05-2021,"[40.640779, -3.166514]","[40.62611, -3.152179]",14.21,21.24,83.5,41.0,151.6,182.0,727.9,673.2,,,,,,29.77,18,Friday,21,5,2021
405,Afternoon Ride,48.62,5678,276.0,Ride,5401600654,26-05-2021,"[40.640162, -3.165834]","[40.642501, -3.150346]",30.83,55.08,89.1,28.0,,,689.4,592.0,139.7,793.0,True,783.0,242.0,94.63,17,Wednesday,21,5,2021
406,5k prg,5.35,1274,61.1,Run,5357498785,25-05-2021,[],[],15.11,23.76,83.5,41.0,154.3,184.0,700.1,685.6,,,,,,21.23,21,Tuesday,21,5,2021
407,Night Swim,2.2,2179,0.0,Swim,5354247667,24-05-2021,[],[],3.64,14.04,24.9,,,,0.0,,,,,,,36.32,23,Monday,21,5,2021
408,Ay qué gotera tenemos! ⛈🌨,96.43,10777,1023.0,Ride,5344151427,23-05-2021,"[40.64155, -3.166619]","[40.641727, -3.166827]",32.21,67.68,92.0,12.0,141.1,181.0,882.6,595.6,218.7,2357.1,True,701.0,246.0,179.62,8,Sunday,20,5,2021
409,Lupiana y vuelta 🔥🔥☀️☀️,10.0,2344,45.3,Run,5338316235,22-05-2021,"[40.652131, -3.055065]","[40.653735, -3.05377]",15.36,22.32,84.0,41.0,164.2,187.0,810.1,774.9,,,,,,39.07,12,Saturday,20,5,2021
410,10*200 cuesta con David y Razolis <3 ,12.42,3397,151.3,Run,5334723756,21-05-2021,"[40.640903, -3.166478]","[40.64091, -3.1662]",13.16,21.96,82.7,41.0,155.7,176.0,738.3,683.4,,,,,,56.62,17,Friday,20,5,2021
411,18*100 r15'',2.2,1913,0.0,Swim,5330003199,20-05-2021,[],[],4.14,6.84,25.3,,,,0.0,,,,,,,31.88,9,Thursday,20,5,2021
412,4x50roto + 10x50pal fácil,2.0,2088,0.0,Swim,5316060385,17-05-2021,[],[],3.45,30.96,26.1,,,,0.0,,,,,,,34.8,23,Monday,20,5,2021
413,Maldita la hora...,20.1,5308,204.9,Run,5313903062,17-05-2021,"[40.640117, -3.164319]","[40.640455, -3.164668]",13.63,20.88,81.7,41.0,162.9,178.0,771.9,694.1,,,,,,88.47,19,Monday,20,5,2021
414,Rodaje por el pueblo,9.13,2397,161.0,Run,5313902812,16-05-2021,"[40.652949, -3.054487]","[40.652517, -3.054783]",13.71,19.8,82.4,41.0,167.5,198.0,959.9,807.9,,,,,,39.95,11,Sunday,19,5,2021
415,Aaaaaaarrrggggg cabrones ,145.49,16549,1646.0,Ride,5302184925,15-05-2021,"[40.640734, -3.166424]","[40.634193, -3.1672]",31.65,63.72,90.4,22.0,150.8,191.0,951.2,590.8,217.5,3599.6,True,764.0,245.0,275.82,8,Saturday,19,5,2021
416,"500 ""feel the water, feel the water""",2.0,2096,0.0,Swim,5295170051,14-05-2021,[],[],3.43,17.28,23.0,,,,0.0,,,,,,,34.93,4,Friday,19,5,2021
417,"Rodaje post competi, todo en orden",6.9,1758,50.3,Run,5285524970,12-05-2021,"[40.641154, -3.166274]","[40.641235, -3.166621]",14.13,19.8,82.7,41.0,151.7,177.0,688.5,636.6,,,,,,29.3,19,Wednesday,19,5,2021
418,Night Swim,1.55,1726,0.0,Swim,5277117079,10-05-2021,[],[],3.23,10.8,25.2,,,,0.0,,,,,,,28.77,23,Monday,19,5,2021
419,Carrera a pie Tri Aranjuez,19.96,5001,0.0,Run,5268091536,09-05-2021,"[40.038285, -3.604275]","[40.042276, -3.604881]",14.36,24.84,82.8,41.0,171.4,198.0,493.7,492.1,,,,,,83.35,10,Sunday,18,5,2021
420,Bici Tri aranjuez...,86.53,8422,577.0,Ride,5269525704,09-05-2021,"[40.037614, -3.604601]","[40.037729, -3.604398]",36.99,69.84,93.0,18.0,,,761.6,493.4,253.1,2131.9,True,837.0,261.0,140.37,7,Sunday,18,5,2021
421,Night Swim,1.3,1192,0.0,Swim,5261304886,08-05-2021,[],[],3.93,21.96,25.1,,,,0.0,,,,,,,19.87,3,Saturday,18,5,2021
422,Evening Ride,55.82,5548,253.0,Ride,5258499252,06-05-2021,"[40.641287, -3.166849]","[40.641819, -3.166835]",36.22,59.76,94.0,26.0,,,696.4,601.6,233.5,1295.5,True,942.0,254.0,92.47,18,Thursday,18,5,2021
423,Evening Run,5.44,1572,50.0,Run,5247485728,05-05-2021,"[40.641184, -3.166824]","[40.641308, -3.166651]",12.47,25.56,82.0,59.0,146.6,190.0,684.4,638.6,,,,,,26.2,19,Wednesday,18,5,2021
424,De mañaneo con Rulo y Cete,14.13,3881,133.0,Run,5234037716,03-05-2021,"[40.640887, -3.166789]","[40.640262, -3.166054]",13.11,34.2,81.4,52.0,158.2,179.0,765.2,680.0,,,,,,64.68,9,Monday,18,5,2021
425,Morning Swim,1.05,1074,0.0,Swim,5247485404,03-05-2021,[],[],3.52,8.28,23.6,,,,0.0,,,,,,,17.9,5,Monday,18,5,2021
426,Transi KO💀💣,5.83,1402,7.0,Run,5228180567,02-05-2021,"[40.641019, -3.166512]","[40.642796, -3.175517]",14.97,18.36,81.9,54.0,163.7,182.0,683.2,631.2,,,,,,23.37,11,Sunday,17,5,2021
427,3*30' ritmo Aranjuez,76.98,7546,260.0,Ride,5228412505,02-05-2021,"[40.641313, -3.166934]","[40.638376, -3.183379]",36.72,66.96,92.5,11.0,,,713.2,605.4,235.4,1776.7,True,796.0,243.0,125.77,8,Sunday,17,5,2021
428,Salida club suavesito,80.28,10203,823.0,Ride,5228416424,01-05-2021,"[40.640533, -3.166286]","[40.639681, -3.164951]",28.32,63.0,81.4,12.0,,,1022.8,675.2,174.4,1779.6,True,888.0,212.0,170.05,8,Saturday,17,5,2021
429,3*8' z2 ,53.87,5387,266.0,Ride,5228417546,30-04-2021,"[40.641768, -3.167207]","[40.64042, -3.165368]",36.0,60.84,91.6,18.0,,,769.0,673.8,240.9,1297.9,True,851.0,262.0,89.78,17,Friday,17,4,2021
430,Morning Swim,2.2,1885,0.0,Swim,5207194785,28-04-2021,[],[],4.2,7.92,23.1,,,,0.0,,,,,,,31.42,5,Wednesday,17,4,2021
431,Disfrutando del campo Z1b+30'',18.12,4800,124.0,Run,5200994928,27-04-2021,"[40.65266, -3.054749]","[40.652182, -3.055027]",13.59,20.16,82.6,57.0,159.2,177.0,877.0,813.2,,,,,,80.0,12,Tuesday,17,4,2021
432,Transi 14km z1b Aranjuez ,14.01,3302,22.0,Run,5189792154,25-04-2021,"[40.641121, -3.166621]","[40.640895, -3.17822]",15.27,22.32,83.3,53.0,175.2,196.0,683.2,625.2,,,,,,55.03,12,Sunday,16,4,2021
433,Transi 60km z1b ,78.69,7458,298.0,Ride,5189785313,25-04-2021,"[40.641312, -3.166837]","[40.642669, -3.168345]",37.98,60.48,94.4,13.0,,,721.8,622.8,239.9,1789.4,True,834.0,249.0,124.3,10,Sunday,16,4,2021
434,25' zetas con Recenix y David (celosón),8.63,2191,50.0,Run,5178449394,23-04-2021,"[40.641151, -3.166703]","[40.641534, -3.166938]",14.18,20.88,83.3,57.0,159.3,179.0,682.8,633.8,,,,,,36.52,17,Friday,16,4,2021
435,"21x100 reg1-3 r15"" 🤙🏼",3.0,2528,0.0,Swim,5177554183,23-04-2021,[],[],4.27,25.56,24.0,,,,0.0,,,,,,,42.13,5,Friday,16,4,2021
436,Afternoon Run,12.01,3162,65.0,Run,5172914779,22-04-2021,"[40.641211, -3.16681]","[40.642653, -3.167994]",13.67,22.68,83.0,55.0,146.0,186.0,682.6,631.0,,,,,,52.7,17,Thursday,16,4,2021
437,Test lactato bici v2,27.95,3313,14.0,Ride,5167677736,21-04-2021,[],[],30.37,49.68,99.2,18.0,,,700.0,689.4,195.4,647.3,True,516.0,206.0,55.22,17,Wednesday,16,4,2021
438,Test lactato 💉🎃,10.1,2777,39.0,Run,5161117129,20-04-2021,"[40.627051, -3.151626]","[40.626282, -3.152213]",13.1,21.24,81.4,52.0,153.3,186.0,735.0,718.8,,,,,,46.28,17,Tuesday,16,4,2021
439,Night Swim,3.0,3270,0.0,Swim,5159633946,20-04-2021,[],[],3.3,17.28,23.4,,,,0.0,,,,,,,54.5,3,Tuesday,16,4,2021
